,0
0,Connecticut
1,Georgia
2,Iowa
3,Kansas
4,Kentucky
5,Louisiana
6,Maine
7,Maryland
8,Missouri
9,Montana
10,New Hampshire
11,North Dakota
12,Rhode Island
13,South Dakota
14,Tennessee
15,Utah
16,Vermont
17,Virginia
18,West Virginia
19,Wisconsin
20,Wyoming
